First Last  	Team  	Games  	  	Rec  	RecYds  	RecYPG  	RecAvg  	RecLng  	YAC  	Rec1stD  	RecTD  	 	KR  	KRYds  	KRAvg  	KRLong  	KRTD  	 	PR  	PRYds  	PRAvg  	PRLong  	PRTD  	 	Fum  	FumL
 Marvin Harrison 	IND 	4 	  	17  	231  	57.8  	13.6  	42  	2.6  	12  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Javon Walker 	DEN 	3 	  	19  	230  	76.7  	12.1  	24  	4.8  	10  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Ronald Curry 	OAK 	4 	  	16  	223  	55.8  	13.9  	42  	4.3  	12  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Demetrius Williams 	BAL 	5 	  	16  	222  	44.4  	13.9  	26  	1.7  	13  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Amani Toomer 	NYG 	5 	  	19  	217  	43.4  	11.4  	40  	3.6  	10  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Marques Colston 	NORR 	4 	  	22  	216  	54.0  	9.8  	37  	2.8  	13  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Marty Booker 	MIA 	5 	  	18  	212  	42.4  	11.8  	26  	2.7  	11  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Darrell Jackson 	SFO 	5 	  	16  	210  	42.0  	13.1  	34  	0.7  	12  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Greg Jennings 	GNB 	3 	  	11  	208  	69.3  	18.9  	57  	8.8  	8  	3  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	0  	 
 Isaac Bruce 	STL 	4 	  	15  	203  	50.8  	13.5  	37  	4.1  	8  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Santana Moss 	WAS 	3 	  	12  	199  	66.3  	16.6  	49  	3.6  	9  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Calvin Johnson 	DET 	4 	  	11  	192  	48.0  	17.5  	39  	5.6  	10  	2  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Donte' Stallworth 	NWE 	5 	  	12  	180  	36.0  	15.0  	34  	6.1  	8  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Anthony Gonzalez 	IND 	5 	  	13  	178  	35.6  	13.7  	24  	3.8  	7  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Brandon Stokley 	DEN 	5 	  	12  	178  	35.6  	14.8  	34  	2.3  	11  	1  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Kevin Walter 	HOU 	5 	  	15  	178  	35.6  	11.9  	35  	2.5  	9  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	 
 Keary Colbert 	CAR 	5 	  	13  	176  	35.2  	13.5  	43  	3.2  	8  	0  	 	0  	0  	0  	0  	0  	 	0  	0  	0  	0  	0  	 	1  	0  	 
 Bobby Wade 	MIN 	4 	  	15  	173  	43.3  	11.5  	40  	3.9  	6  	0  	 	0  	0  	0.0  	0  	0  	 	8  	46  	5.8  	13  	0  	 	1  	0  	 
 Nate Burleson 	SEA 	5 	  	13  	173  	34.6  	13.3  	24  	4.2  	8  	2  	 	2  	35  	17.5  	19  	0  	 	18  	185  	10.3  	56  	0  	 	1  	1  	 
